X,Y,Z
0.0,0.0,0.0
0.09999999,0.17320506,0.3459197
0.19999997,0.34641013,0.69085836
0.29999995,0.5196152,1.0348159
0.39999995,0.69282025,1.3777927
0.4999999,0.8660253,1.7197883
0.5999999,1.0392303,2.060803
0.69999987,1.2124354,2.4008365
0.79999983,1.3856404,2.739889
0.8999998,1.5588454,3.0779607
0.99999976,1.7320504,3.4150512
1.0999998,1.9052556,3.7511609
1.1999997,2.0784605,4.0862894
1.2999997,2.2516656,4.4204373
1.3999997,2.4248707,4.753604
1.4999998,2.5980759,5.0857897
1.5999998,2.771281,5.416995
1.6999998,2.9444861,5.7472186
1.8,3.1176913,6.0764613
1.9,3.2908967,6.404723
2.0,3.4641018,6.732004
2.1000001,3.637307,7.058304
2.2,3.810512,7.383623
2.3000002,3.9837172,7.7079606
2.4,4.1569223,8.031318
2.5,4.3301272,8.353693
2.6,4.503332,8.675087
2.6999998,4.676537,8.995501
2.7999997,4.849742,9.314933
2.8999996,5.022947,9.633384
2.9999995,5.1961517,9.950854
3.0999994,5.3693566,10.2673435
3.1999993,5.5425615,10.582852
3.2999992,5.7157664,10.897381
3.3999991,5.8889713,11.210927
3.499999,6.062176,11.523492
3.599999,6.235381,11.835076
3.6999989,6.408586,12.145679
3.7999988,6.581791,12.455302
3.8999987,6.754996,12.763944
3.9999986,6.9282007,13.071604
4.0999985,7.1014056,13.3782835
4.1999984,7.2746105,13.683982
4.2999983,7.4478154,13.988699
4.399998,7.6210203,14.292435
4.499998,7.794225,14.59519
4.599998,7.96743,14.896965
4.699998,8.1406355,15.19776
4.799998,8.31384,15.49757
4.8999977,8.487045,15.796403
4.9999976,8.66025,16.094252
5.0999975,8.833455,16.391123
5.1999974,9.00666,16.687012
5.2999973,9.179865,16.981918
5.399997,9.35307,17.275845
5.499997,9.526275,17.56879
5.599997,9.69948,17.860756
5.699997,9.8726845,18.151737
5.799997,10.04589,18.441742
5.8999968,10.219094,18.73076
5.9999967,10.3923,19.018803
6.0999966,10.565504,19.305862
6.1999965,10.738709,19.59194
6.2999964,10.911914,19.877039
