time,Z
0.0,0.0
0.01,0.23171462
0.02,0.5764482
0.03,1.0282006
0.04,1.5809723
0.049999997,2.2287629
0.059999995,2.965572
0.06999999,3.7854004
0.07999999,4.682247
0.08999999,5.650114
0.09999999,6.6829987
0.109999985,7.7749033
0.11999998,8.9198265
0.12999998,10.111769
0.13999999,11.34473
0.14999999,12.612712
0.16,13.909713
0.17,15.229731
0.18,16.566769
0.19000001,17.91483
0.20000002,19.267906
0.21000002,20.619999
0.22000003,21.965115
0.23000003,23.297245
0.24000004,24.610401
0.25000003,25.89857
0.26000002,27.155758
0.27,28.375965
0.28,29.553192
0.29,30.681435
0.29999998,31.754704
0.30999997,32.766983
0.31999996,33.712288
0.32999995,34.58461
0.33999994,35.377953
0.34999993,36.08631
0.35999992,36.70369
0.36999992,37.22409
0.3799999,37.64151
0.3899999,37.949944
0.3999999,38.143402
0.40999988,38.215885
0.41999987,38.161373
0.42999986,37.97389
0.43999985,37.647427
0.44999984,37.175972
0.45999983,36.553543
0.46999982,35.77416
0.4799998,34.831745
0.4899998,33.720398
0.4999998,32.43402
0.5099998,30.966728
0.5199998,29.312435
0.5299998,27.465117
0.5399998,25.418858
0.5499998,23.167593
0.55999976,20.705381
0.56999975,18.026152
0.57999974,15.123985
0.58999974,11.992773
0.5999997,8.62665
0.6099997,5.0194874
0.6199997,1.1654015
0.6299997,-2.9417286
